hscode,mota
73101091,"- - - Được đúc, rèn hoặc dập, ở dạng thô"
73101099,- - - Loại khác
#3000,- Có dung tích dưới 50 lít:
731021,"- - Lon, hộp được đóng kín bằng cách hàn hoặc gấp nếp (vê mép):"
#3001,- - - Có dung tích dưới 1 lít:
73102111,- - - - Được tráng thiếc
73102119,- - - - Loại khác
#3002,- - - Loại khác:
73102191,- - - - Được tráng thiếc
73102199,- - - - Loại khác
731029,- - Loại khác:
#3003,- - - Có dung tích dưới 1 lít:
73102911,- - - - Được tráng thiếc
73102919,- - - - Loại khác
#3004,- - - Loại khác:
73102991,- - - - Được tráng thiếc
73102992,"- - - - Được đúc, rèn hoặc dập khác, ở dạng thô"
73102999,- - - - Loại khác
7311,"Các loại thùng chứa khí nén hoặc khí hóa lỏng, bằng sắt hoặc thép"
#3005,- Dạng hình trụ bằng thép đúc liền:
73110021,"- - Có dung tích từ 30 lít trở lên, nhưng dưới 110 lít, dùng để chứa khí tự nhiên nén (CNG) hoặc khí tự nhiên hóa lỏng (LNG) cho ô tô"
73110022,"- - Có dung tích từ 110 lít trở lên, dùng để chứa khí tự nhiên nén (CNG) hoặc khí tự nhiên hóa lỏng (LNG) cho ô tô"
73110023,"- - Có dung tích dưới 30 lít, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110024,"- - Có dung tích từ 30 lít trở lên nhưng dưới 110 lít, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110025,"- - Loại khác, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110026,"- - Loại khác, có dung tích dưới 30 lít"
73110027,"- - Loại khác, có dung tích từ 30 lít trở lên nhưng dưới 110 lít"
73110029,- - Loại khác
#3006,- Loại khác:
73110091,"- - Có dung tích không quá 7,3 lít"
73110092,"- - Có dung tích trên 7,3 lít nhưng dưới 30 lít"
73110094,- - Có dung tích từ 30 lít trở lên nhưng dưới 110 lít
73110099,- - Loại khác
7312,"Dây bện tao, thừng, cáp, băng tết, dây treo và các loại tương tự, bằng sắt hoặc thép, chưa cách điện"
731210,"- Dây bện tao, thừng và cáp:"
73121010,"- - Cuộn dây bện tao kiểu bọc, dây tao dẹt và dây cáp chống xoắn(1) (SEN)"
73121020,"- - Loại được phủ, mạ hoặc tráng bằng đồng thau và có đường kính không quá 3 mm"
73121030,"- - Được phủ, mạ hoặc tráng nhôm"
#3007,- - Loại khác:
73121091,- - - Dây thép bện tao cho bê tông dự ứng lực
73121099,- - - Loại khác
73129000,- Loại khác
73130000,"Dây gai bằng sắt hoặc thép; dây đai xoắn hoặc dây đơn dẹt, có gai hoặc không có gai, và dây đôi xoắn, dùng làm hàng rào, bằng sắt hoặc thép"
7314,"Tấm đan (kể cả đai liền), phên, lưới và rào, làm bằng dây sắt hoặc thép; sản phẩm dạng lưới được tạo hình bằng phương pháp đột dập và kéo giãn thành lưới bằng sắt hoặc thép"
#3008,- Tấm đan dệt thoi:
73141200,"- - Loại đai liền dùng cho máy móc, bằng thép không gỉ"
73141400,"- - Tấm đan dệt thoi khác, bằng thép không gỉ "
731419,- - Loại khác:
73141910,"- - - Đai liền dùng cho máy móc, trừ loại bằng thép không gỉ"
73141990,- - - Loại khác
73142000,"- Phên, lưới và rào, được hàn ở mắt nối, bằng dây với kích thước mặt cắt ngang tối đa từ 3 mm trở lên và có cỡ mắt lưới từ 100 cm2 trở lên"
#3009,"- Các loại phên, lưới và rào khác, được hàn ở các mắt nối:"
73143100,"- - Được phủ, mạ hoặc tráng kẽm"
73143900,- - Loại khác
#3010,"- Tấm đan (cloth), phên, lưới và rào khác:"
73144100,"- - Được phủ, mạ hoặc tráng kẽm"
73144200,- - Được phủ plastic
73144900,- - Loại khác
73145000,- Sản phẩm dạng lưới được tạo hình bằng phương pháp đột dập và kéo giãn thành lưới 
7315,"Xích và các bộ phận của xích, bằng sắt hoặc thép"
#3011,- Xích gồm nhiều mắt được nối bằng khớp dạng bản lề và các bộ phận của nó:
731511,- - Xích con lăn:
73151110,- - - Xích xe đạp hoặc xích xe mô tô
#3012,- - - Loại khác:
73151191,"- - - - Xích truyền, có độ dài mắt xích từ 6 mm đến 32 mm"
73151199,- - - - Loại khác
731512,- - Xích khác:
73151210,- - - Xích xe đạp hoặc xích xe mô tô
73151290,- - - Loại khác
731519,- - Các bộ phận:
73151910,- - - Xích xe đạp hoặc xích xe mô tô
73151990,- - - Loại khác
73152000,- Xích trượt
#3013,- Xích khác:
73158100,- - Nối bằng chốt có ren hai đầu
73158200,"- - Loại khác, ghép nối bằng mối hàn"
731589,- - Loại khác:
73158910,- - - Xích xe đạp hoặc xích xe mô tô
73158990,- - - Loại khác
731590,- Các bộ phận khác:
73159020,- - Xích xe đạp hoặc xích xe mô tô
73159090,- - Loại khác
73160000,"Neo tàu (1), neo móc và các bộ phận của chúng, bằng sắt hoặc thép"
7317,"Đinh, đinh bấm, đinh ấn (đinh rệp), đinh gấp, ghim dập (trừ các sản phẩm thuộc nhóm 83.05) và các sản phẩm tương tự, bằng sắt hoặc thép, có hoặc không có đầu bằng vật liệu khác, nhưng trừ loại có đầu bằng đồng"
73170010,- Đinh dây
73170020,- Ghim dập
73170030,- Đinh giữ ray cho tà vẹt đường ray; bàn chông
73170090,- Loại khác
7318,"Vít, bu lông, đai ốc, vít đầu vuông, vít treo, đinh tán, chốt hãm, chốt định vị, vòng đệm (kể cả vòng đệm lò xo vênh) và các sản phẩm tương tự, bằng sắt hoặc thép"
#3014,- Các sản phẩm đã được ren:
73181100,- - Vít đầu vuông
731812,- - Vít khác dùng cho gỗ:
73181210,- - - Đường kính ngoài của thân không quá 16 mm
73181290,- - - Loại khác
73181300,- - Đinh móc và đinh vòng
731814,- - Vít tự hãm:
73181410,- - - Đường kính ngoài của thân không quá 16 mm
73181490,- - - Loại khác
731815,"- - Đinh vít và bu lông khác, có hoặc không có đai ốc hoặc vòng đệm:"
73181510,- - - Đường kính ngoài của thân không quá 16 mm
73181590,- - - Loại khác
731816,- - Đai ốc:
73181610,- - - Cho bu lông có đường kính ngoài của thân không quá 16 mm
73181690,- - - Loại khác
731819,- - Loại khác:
73181910,- - - Đường kính ngoài của thân không quá 16 mm
73181990,- - - Loại khác
#3015,- Các sản phẩm không có ren:
73182100,- - Vòng đệm lò xo vênh và vòng đệm hãm khác
73182200,- - Vòng đệm khác
731823,- - Đinh tán:
73182310,- - - Đường kính ngoài không quá 16 mm
73182390,- - - Loại khác
73182400,- - Chốt hãm và chốt định vị
731829,- - Loại khác:
73182910,- - - Đường kính ngoài của thân không quá 16 mm
73182990,- - - Loại khác
7319,"Kim khâu, kim đan, cái xỏ dây, kim móc, kim thêu và các loại tương tự, để sử dụng bằng tay, bằng sắt hoặc thép; ghim băng và các loại ghim khác bằng sắt hoặc thép, chưa được ghi hoặc chi tiết ở nơi khác"
731940,- Ghim băng và các loại ghim khác:
73194010,- - Ghim băng
73194020,- - Các loại ghim khác
731990,- Loại khác:
73199010,"- - Kim khâu, kim mạng hoặc kim thêu"
73199090,- - Loại khác
7320,"Lò xo và lá lò xo, bằng sắt hoặc thép"
732010,- Lò xo lá và các lá lò xo:
#3016,- - Dùng cho xe có động cơ hoặc các loại máy thuộc nhóm 84.29 hoặc 84.30:
73201011,"- - - Dùng cho xe có động cơ thuộc nhóm 87.02, 87.03 hoặc 87.04"
73201012,- - - Dùng cho xe có động cơ khác
73201019,- - - Loại khác
73201090,- - Loại khác
732020,- Lò xo cuộn:
#3017,- - Dùng cho xe có động cơ hoặc các loại máy thuộc nhóm 84.29 hoặc 84.30:
73202011, - - - Dùng cho xe có động cơ
73202012, - - - Dùng cho máy làm đất
73202019,- - - Loại khác
73202090,- - Loại khác
732090,- Loại khác:
73209010,- - Dùng cho xe có động cơ
73209090,- - Loại khác
7321,"Bếp, bếp có lò nướng, vỉ lò, bếp nấu (kể cả loại có nồi hơi phụ dùng cho hệ thống gia nhiệt trung tâm), vỉ nướng, lò nướng, lò ga hình vòng, dụng cụ hâm nóng dạng tấm và các loại đồ dùng gia đình không dùng điện tương tự, và các bộ phận của chúng, bằng sắt hoặc thép"
#3018,- Dụng cụ nấu và dụng cụ hâm nóng dạng tấm:
73211100,- - Loại dùng nhiên liệu khí hoặc dùng cả khí và nhiên liệu khác
73211200,- - Loại dùng nhiên liệu lỏng
732119,"- - Loại khác, kể cả dụng cụ dùng nhiên liệu rắn:"
73211910,- - - Loại dùng nhiên liệu rắn
73211990,- - - Loại khác
#3019,- Dụng cụ khác:
73218100,- - Loại dùng nhiên liệu khí hoặc dùng cả khí và nhiên liệu khác
73218200,- - Loại dùng nhiên liệu lỏng
73218900,"- - Loại khác, kể cả dụng cụ dùng nhiên liệu rắn"
732190,- Bộ phận:
73219010,- - Của bếp dầu hỏa (SEN)
#3020,- - Của dụng cụ nấu và dụng cụ hâm nóng dạng tấm dùng nhiên liệu khí (SEN):
73219021,- - - Đầu đốt (burner); các bộ phận được sản xuất bằng quá trình dập hoặc ép(SEN)
73219029,- - - Loại khác
73219090,- - Loại khác
7322,"Lò sưởi của hệ thống nhiệt trung tâm không dùng điện và các bộ phận của chúng, bằng sắt hoặc thép; thiết bị làm nóng không khí và bộ phận phân phối khí nóng (kể cả loại có khả năng phân phối không khí tự nhiên hoặc khí điều hòa), không làm nóng bằng điện, có lắp quạt hoặc quạt thổi chạy bằng mô tơ, và bộ phận của chúng, bằng sắt hoặc thép"
#3021,- Lò sưởi và bộ phận của chúng:
73221100,- - Bằng gang đúc
73221900,- - Loại khác
73229000,- Loại khác
7323,"Bộ đồ ăn, đồ nhà bếp hoặc các loại đồ gia dụng khác và các bộ phận của chúng, bằng sắt hoặc thép; bùi nhùi bằng sắt hoặc thép; miếng cọ nồi và cọ rửa hoặc đánh bóng, găng tay và các loại tương tự, bằng sắt hoặc thép"
73231000,"- Bùi nhùi bằng sắt hoặc thép; miếng cọ nồi và cọ rửa hoặc đánh bóng, găng tay và các loại tương tự"
#3022,- Loại khác:
732391,"- - Bằng gang đúc, chưa tráng men:"
73239110,- - - Đồ dùng nhà bếp
73239120,- - - Gạt tàn thuốc lá 
73239190,- - - Loại khác
73239200,"- - Bằng gang đúc, đã tráng men"
732393,- - Bằng thép không gỉ:
73239310,- - - Đồ dùng nhà bếp
73239320,- - - Gạt tàn thuốc lá 
73239390,- - - Loại khác
73239400,"- - Bằng sắt (trừ gang đúc) hoặc thép, đã tráng men"
732399,- - Loại khác:
73239910,- - - Đồ dùng nhà bếp
73239920,- - - Gạt tàn thuốc lá 
73239990,- - - Loại khác
7324,"Thiết bị vệ sinh và các bộ phận của chúng, bằng sắt hoặc thép"
732410,"- Chậu rửa và bồn rửa, bằng thép không gỉ:"
73241010,- - Bồn rửa nhà bếp
73241090,- - Loại khác
#3023,- Bồn tắm:
732421,"- - Bằng gang đúc, đã hoặc chưa được tráng men:"
73242110,- - - Bồn tắm có hình dạng bên trong là hình chữ nhật hoặc hình thuôn (oblong)
73242190,- - - Loại khác
732429,- - Loại khác:
73242910,- - - Bồn tắm có hình dạng bên trong là hình chữ nhật hoặc hình thuôn (oblong)
73242990,- - - Loại khác
732490,"- Loại khác, kể cả các bộ phận:"
73249010,- - Dùng cho bệ xí hoặc bệ đi tiểu giật nước (loại cố định)
#3024,- - Loại khác:
73249091,- - - Bộ phận của bồn rửa nhà bếp hoặc bồn tắm
73249093,- - - Bộ phận của bệ xí hoặc bệ đi tiểu giật nước (loại cố định)
73249099,- - - Loại khác
7325,Các sản phẩm đúc khác bằng sắt hoặc thép
732510,- Bằng gang đúc không dẻo:
73251020,"- - Nắp cống, lưới che cống và khung của chúng"
73251030,- - Máng và chén để thu mủ cao su
73251090,- - Loại khác
#3025,- Loại khác:
73259100,- - Bi nghiền và các hàng hóa tương tự dùng cho máy nghiền
732599,- - Loại khác:
73259920,"- - - Nắp cống, lưới che cống và khung của chúng"
73259990,- - - Loại khác
7326,Các sản phẩm khác bằng sắt hoặc thép
#3026,"- Đã được rèn hoặc dập, nhưng chưa được gia công tiếp:"
73261100,- - Bi nghiền và các hàng hóa tương tự dùng cho máy nghiền
73261900,- - Loại khác
732620,- Sản phẩm bằng dây sắt hoặc thép:
73262050,- - Lồng nuôi gia cầm và loại tương tự
73262060,- - Bẫy chuột
73262070,- - Rèm (blinds) và rèm lưới
73262090,- - Loại khác
732690,- Loại khác:
73269010,- - Bánh lái tàu thủy
73269020,- - Máng và chén để thu mủ cao su
73269030,- - Bộ kẹp bằng thép không gỉ đã lắp với măng sông cao su dùng cho các ống không có đầu nối và phụ kiện ghép nối bằng gang đúc(SEN)
73269060,- - Đèn Bunsen
73269070,"- - Móng ngựa; mấu, gai, đinh móc lắp trên giày để thúc ngựa"
#3027,- - Loại khác:
73269091,- - - Hộp đựng thuốc lá điếu
73269099,- - - Loại khác
#3028,"(1): Tham khảo TCVN 197-1:2014, TCVN 8855-1:2011 và TCVN 5905:1995"
#3029,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#3030,Chương 74
#3031,Đồng và các sản phẩm bằng đồng
#3032,Chú giải
#3033,1. Trong Chương này các khái niệm sau có nghĩa:
#3034, (a) Đồng tinh luyện
#3035,"Kim loại có ít nhất 99,85% tính theo khối lượng là đồng; hoặc"
#3036,"Kim loại có ít nhất 97,5% tính theo khối lượng là đồng, với điều kiện hàm lượng các tạp chất không vượt quá giới hạn ghi trong bảng sau:"
#3037,XEM BẢNG 4
#3038,(b) Hợp kim đồng
#3039,"Vật liệu kim loại trừ đồng chưa tinh luyện trong đó hàm lượng đồng tính theo khối lượng lớn hơn so với từng nguyên tố khác, với điều kiện:"
#3040,(i) hàm lượng của ít nhất một trong các nguyên tố khác phải lớn hơn giới hạn đã nêu trong bảng trên; hoặc
#3041,"(ii) tổng hàm lượng của các nguyên tố khác lớn hơn 2,5%."
#3042,(c) Các hợp kim đồng chủ
#3043,"Hợp kim chứa các nguyên tố khác với hàm lượng đồng lớn hơn 10% tính theo khối lượng, không có tính rèn và thường sử dụng như chất phụ gia trong sản xuất các hợp kim khác hoặc như tác nhân khử ô-xi, khử lưu huỳnh hoặc tác dụng tương tự trong ngành luyện kim màu. Tuy nhiên, đồng photphua (phosphor copper) có hàm lượng phospho trên 15% tính theo khối lượng phải xếp vào nhóm 28.53."
#3044,Chú giải phân nhóm
#3045,1. Trong Chương này các khái niệm sau có nghĩa:
#3046,(a) Hợp kim đồng-kẽm (đồng thau)
#3047,"Hợp kim đồng và kẽm, có hoặc không có các nguyên tố khác. Khi có các nguyên tố khác:"
#3048,- hàm lượng kẽm trội hơn so với hàm lượng của mỗi nguyên tố khác;
#3049,- hàm lượng niken dưới 5% tính theo khối lượng (xem phần hợp kim đồng-niken-kẽm (bạc niken)); và
#3050,- hàm lượng thiếc dưới 3% tính theo khối lượng (xem phần hợp kim đồng-thiếc (đồng thanh)).
#3051,(b) Hợp kim đồng-thiếc (đồng thanh)
#3052,"Hợp kim đồng và thiếc, có hoặc không có các nguyên tố khác. Trường hợp có nguyên tố khác, hàm lượng thiếc phải trội hơn so với hàm lượng của từng nguyên tố khác, trừ trường hợp khi thành phần thiếc từ 3% trở lên thì hàm lượng kẽm có thể cao hơn thiếc nhưng phải dưới 10% tính theo khối lượng."
#3053,(c) Hợp kim đồng-niken-kẽm (bạc niken)
#3054,"Hợp kim đồng, niken và kẽm, có hoặc không có các nguyên tố khác. Hàm lượng niken từ 5% tính theo khối lượng trở lên (xem phần hợp kim đồng kẽm (đồng thau))."
#3055,(d) Hợp kim đồng-niken
#3056,"Hợp kim đồng và niken, có hoặc không có các nguyên tố khác nhưng trong mọi trường hợp, hàm lượng kẽm chứa trong đó không quá 1% tính theo khối lượng. Trong trường hợp có nguyên tố khác, hàm lượng của niken phải trội hơn so với hàm lượng của từng nguyên tố khác."
7401,Sten đồng; đồng xi măng hóa (đồng kết tủa)
74010010,- Sten đồng
74010020,- Đồng xi măng hóa (đồng kết tủa)
7402,Đồng chưa tinh luyện; a-nốt đồng dùng cho điện phân tinh luyện
74020010,- Đồng xốp (blister copper)
74020090,- Loại khác
7403,"Đồng tinh luyện và hợp kim đồng, chưa gia công"
#3057,- Đồng tinh luyện:
74031100,- - Ca-tốt và các phần của ca-tốt
74031200,- - Thanh để kéo dây
74031300,- - Que
74031900,- - Loại khác
#3058,- Hợp kim đồng:
74032100,- - Hợp kim đồng-kẽm (đồng thau)
74032200,- - Hợp kim đồng - thiếc (đồng thanh)
74032900,- - Hợp kim đồng khác (trừ các loại hợp kim đồng chủ thuộc nhóm 74.05)
74040000,Phế liệu và mảnh vụn của đồng
74050000,Hợp kim đồng chủ
7406,Bột và vảy đồng
74061000,- Bột không có cấu trúc lớp
74062000,- Bột có cấu trúc lớp; vảy đồng
7407,"Đồng ở dạng thanh, que và dạng hình"
740710,- Bằng đồng tinh luyện:
74071030,- - Dạng hình
#3059,- - Dạng thanh và que:
74071041,- - - Mặt cắt ngang hình vuông hoặc hình chữ nhật
74071049,- - - Loại khác
#3060,- Bằng hợp kim đồng:
74072100,- - Bằng hợp kim đồng - kẽm (đồng thau)
74072900,- - Loại khác
7408,Dây đồng
#3061,- Bằng đồng tinh luyện:
740811,- - Có kích thước mặt cắt ngang lớn nhất trên 6 mm:
74081120,- - - Có kích thước mặt cắt ngang lớn nhất không quá 8 mm
74081130,- - - Có kích thước mặt cắt ngang lớn nhất trên 8 mm nhưng không quá 14 mm
74081190,- - - Loại khác
740819,- - Loại khác:
74081910,"- - - Được phủ, mạ hoặc tráng vàng hoặc bạc (SEN)"
74081990,- - - Loại khác
#3062,- Bằng hợp kim đồng:
74082100,- - Bằng hợp kim đồng - kẽm (đồng thau)
74082200,- - Bằng hợp kim đồng - niken (đồng kền) hoặc hợp kim đồng - niken - kẽm (bạc-niken)
740829,- - Loại khác:
74082910,- - - Hợp kim đồng-thiếc (đồng thanh)(SEN)
74082990,- - - Loại khác
7409,"Đồng ở dạng tấm, lá và dải, có chiều dày trên 0,15 mm"
#3063,- Bằng đồng tinh luyện:
74091100,- - Dạng cuộn
74091900,- - Loại khác
#3064,- Bằng hợp kim đồng - kẽm (đồng thau):
74092100,- - Dạng cuộn
74092900,- - Loại khác
#3065,- Bằng hợp kim đồng - thiếc (đồng thanh):
74093100,- - Dạng cuộn
74093900,- - Loại khác
74094000,- Bằng hợp kim đồng-niken (đồng kền) hoặc hợp kim đồng - niken - kẽm (bạc niken)
74099000,- Bằng hợp kim đồng khác
7410,"Đồng lá mỏng (đã hoặc chưa in hoặc bồi trên giấy, bìa, plastic hoặc vật liệu bồi tương tự), với chiều dày (không kể phần bồi) không quá 0,15 mm"
#3066,- Chưa được bồi:
741011,- - Bằng đồng tinh luyện:
74101110,- - - Tấm ép lớp được dát phủ đồng dùng làm tấm mạch in (SEN)
74101190,- - - Loại khác
74101200,- - Bằng hợp kim đồng
#3067,- Đã được bồi:
74102100,- - Bằng đồng tinh luyện
74102200,- - Bằng hợp kim đồng
7411,Các loại ống và ống dẫn bằng đồng
74111000,- Bằng đồng tinh luyện
#3068,- Bằng hợp kim đồng:
74112100,- - Bằng hợp kim đồng - kẽm (đồng thau)
74112200,- - Bằng hợp kim đồng - niken (đồng kền) hoặc hợp kim đồng - niken - kẽm (bạc niken)
74112900,- - Loại khác
7412,"Phụ kiện để ghép nối của ống hoặc ống dẫn bằng đồng (ví dụ, khớp nối đôi, nối khuỷu, măng sông)"
74121000,- Bằng đồng tinh luyện
741220,- Bằng hợp kim đồng:
74122020,- - Phụ kiện ghép nối cho ống vòi(SEN)
#3069,- - Loại khác:
74122091,- - - Bằng hợp kim đồng - kẽm (đồng thau)
74122099,- - - Loại khác
7413,"Dây bện tao, cáp, dây tết và các loại tương tự, bằng đồng, chưa được cách điện"
#3070,"- Có đường kính không quá 28,28 mm:"
74130011,- - Cáp
74130019,- - Loại khác
#3071,- Loại khác:
74130091,- - Cáp
74130099,- - Loại khác
7415,"Đinh, đinh bấm, đinh ấn, ghim dập (trừ các loại thuộc nhóm 83.05) và các sản phẩm tương tự, bằng đồng hoặc bằng sắt hoặc thép có đầu bịt đồng; đinh vít, bu lông, đai ốc, đinh móc, đinh tán, chốt hãm, chốt định vị, vòng đệm (kể cả vòng đệm lò xo vênh) và các sản phẩm tương tự, bằng đồng"
741510,"- Đinh và đinh bấm, đinh ấn, ghim dập và các sản phẩm tương tự:"
74151010,- - Đinh
74151020,- - Ghim dập
74151090,- - Loại khác
#3072,"- Loại khác, chưa được ren:"
74152100,- - Vòng đệm (kể cả vòng đệm lò xo vênh)
74152900,- - Loại khác
#3073,"- Loại khác, đã được ren:"
741533,- - Đinh vít; bu lông và đai ốc:
74153310,- - - Đinh vít
74153320,- - - Bu lông và đai ốc
74153900,- - Loại khác
7418,"Bộ đồ ăn, đồ nhà bếp hoặc đồ gia dụng khác và các bộ phận của chúng, bằng đồng; miếng cọ nồi và cọ rửa hoặc đánh bóng, găng tay và các loại tương tự, bằng đồng; đồ trang bị trong nhà vệ sinh và các bộ phận của chúng, bằng đồng"
741810,"- Bộ đồ ăn, đồ nhà bếp hoặc các đồ gia dụng khác và các bộ phận của chúng; miếng cọ nồi và cọ rửa hoặc đánh bóng, găng tay và các loại tương tự:"
74181010,"- - Miếng cọ nồi và cọ rửa hoặc đánh bóng, găng tay và các loại tương tự"
74181030,"- - Thiết bị nấu hoặc đun nóng dùng trong gia đình, không dùng điện và các bộ phận của các sản phẩm này"
74181090,- - Loại khác
74182000,- Đồ trang bị trong nhà vệ sinh và các bộ phận của chúng
7419,Các sản phẩm khác bằng đồng
741920,"- Đã được đúc, đúc khuôn, rập hoặc rèn nhưng chưa được gia công thêm:"
74192010,- - Xích và các bộ phận của xích
74192020,"- - Thùng, két, bể chứa và các loại đồ chứa đựng tương tự không gắn các thiết bị cơ khí hoặc thiết bị gia nhiệt"
74192090,- - Loại khác
741980,- Loại khác:
74198010,- - Xích và các bộ phận của xích
#3074,"- - Tấm đan (kể cả đai liền), phên và lưới, bằng dây đồng; sản phẩm dạng lưới bằng đồng được tạo hình bằng phương pháp đột dập và kéo giãn thành lưới:"
74198021,- - - Đai liền cho máy móc
74198029,- - - Loại khác
74198030,- - Lò xo
74198040,- - Hộp đựng thuốc lá điếu
74198050,"- - Thiết bị nấu hoặc đun nóng, trừ loại dùng trong gia đình, và các bộ phận của các sản phẩm này"
74198060,- - Các vật dụng được thiết kế riêng sử dụng trong nghi lễ tôn giáo (SEN)
74198070,- - A-nốt mạ điện; dụng cụ đo dung tích (trừ loại gia dụng)
74198080,"- - Thùng, két, bể chứa và các loại đồ chứa đựng tương tự có dung tích từ 300 lít trở xuống không gắn thiết bị cơ khí hoặc thiết bị gia nhiệt "
74198090,- - Loại khác
#3075,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#3076,Chương 75
#3077,Niken và các sản phẩm bằng niken
#3078,Chú giải phân nhóm
#3079,1. Trong Chương này các khái niệm sau có nghĩa:
#3080,(a) Niken không hợp kim
#3081," Là kim loại có tổng hàm lượng niken và coban tối thiểu 99% tính theo khối lượng, với điều kiện:"
#3082,"(i) hàm lượng coban không quá 1,5% tính theo khối lượng, và"
#3083,(ii) hàm lượng tính theo khối lượng của bất kỳ nguyên tố nào khác không vượt quá giới hạn nêu trong bảng sau:
#3084,XEM BẢNG 5 - BẢNG CÁC NGUYÊN TỐ KHÁC 
#3085,(b) Hợp kim niken
#3086,Vật liệu kim loại mà trong đó hàm lượng tính theo khối lượng của niken trội hơn so với hàm lượng tính theo khối lượng của từng nguyên tố khác với điều kiện:
#3087,"(i) hàm lượng của coban trên 1,5% tính theo khối lượng,"
#3088,"(ii) hàm lượng tính theo khối lượng của ít nhất 1 trong các nguyên tố khác trong thành phần vượt quá giới hạn nêu ở bảng trên, hoặc"
#3089,(iii) tổng hàm lượng của các nguyên tố khác trừ niken và coban lớn hơn 1% tính theo khối lượng.
#3090,"2. Mặc dù đã quy định tại Chú giải 9 (c) của Phần XV, theo mục đích của phân nhóm 7508.10, khái niệm “dây"" chỉ áp dụng cho các sản phẩm, dù ở dạng cuộn hoặc không ở dạng cuộn, có hình dạng mặt cắt ngang bất kỳ, nhưng kích thước mặt cắt ngang không quá 6 mm."
7501,"Sten niken, oxit niken thiêu kết và các sản phẩm trung gian khác của quá trình luyện niken"
75011000,- Sten niken
75012000,- Oxit niken thiêu kết và các sản phẩm trung gian khác của quá trình luyện niken
7502,Niken chưa gia công
75021000,"- Niken, không hợp kim"
75022000,- Hợp kim niken
75030000,Phế liệu và mảnh vụn niken
75040000,Bột và vảy niken
7505,"Niken ở dạng thanh, que, hình và dây"
#3091,"- Thanh, que và hình:"
75051100,"- - Bằng niken, không hợp kim"
75051200,- - Bằng hợp kim niken
#3092,- Dây:
75052100,"- - Bằng niken, không hợp kim"
75052200,- - Bằng hợp kim niken
7506,"Niken ở dạng tấm, lá, dải và lá mỏng"
75061000,"- Bằng niken, không hợp kim"
75062000,- Bằng hợp kim niken
7507,"Các loại ống, ống dẫn và các phụ kiện để ghép nối của ống hoặc ống dẫn bằng niken (ví dụ, khớp nối đôi, khuỷu, măng sông)"
#3093,- Các loại ống và ống dẫn:
75071100,"- - Bằng niken, không hợp kim"
75071200,- - Bằng hợp kim niken
75072000,- Phụ kiện để ghép nối của ống hoặc ống dẫn
7508,Sản phẩm khác bằng niken
75081000,"- Tấm đan, phên và lưới, bằng dây niken"
750890,- Loại khác:
75089030,- - Bu lông và đai ốc
75089050,"- - Các sản phẩm mạ điện a-nốt, bao gồm cả các sản phẩm sản xuất bằng phương pháp điện phân"
75089090,- - Loại khác
#3094,Chương 76
#3095,Nhôm và các sản phẩm bằng nhôm
#3096,Chú giải phân nhóm
#3097,1. Trong Chương này các khái niệm sau có nghĩa:
#3098,"(a) Nhôm, không hợp kim"
#3099,"Là kim loại có hàm lượng nhôm chiếm ít nhất 99% tính theo khối lượng, với điều kiện hàm lượng của bất kỳ nguyên tố nào khác không vượt quá giới hạn nêu trong bảng sau:"
#3100,XEM BẢNG 6
#3101,"(1) Các nguyên tố khác, ví dụ Cr, Cu, Mg, Mn, Ni, Zn."
#3102,"(2) Tỷ lệ đồng cho phép lớn hơn 0,1%, nhưng không quá 0,2%, với điều kiện hàm lượng crôm cũng như hàm lượng mangan đều không quá 0,05%."
#3103,(b) Hợp kim nhôm
#3104,"Vật liệu kim loại mà trong đó hàm lượng nhôm lớn hơn so với hàm lượng của mỗi nguyên tố khác tính theo khối lượng, với điều kiện:"
#3105,(i) hàm lượng của ít nhất 1 trong các nguyên tố khác hoặc tổng hàm lượng của sắt với silic phải lớn hơn giới hạn nêu ở bảng trên; hoặc
#3106,(ii) tổng hàm lượng của các nguyên tố khác trong thành phần vượt quá 1% tính theo khối lượng.
#3107,"2. Mặc dù đã quy định tại Chú giải 9 (c) của Phần XV, theo mục đích của phân nhóm 7616.91, khái niệm ""dây"" chỉ áp dụng cho các sản phẩm ở dạng cuộn hoặc không ở dạng cuộn, mặt cắt ngang ở hình dạng bất kỳ, kích thước mặt cắt ngang không quá 6 mm."
7601,Nhôm chưa gia công
76011000,"- Nhôm, không hợp kim"
76012000,- Hợp kim nhôm
76020000,Phế liệu và mảnh vụn nhôm
7603,Bột và vảy nhôm
76031000,- Bột không có cấu trúc lớp
760320,- Bột có cấu trúc lớp; vảy nhôm:
76032010,- - Vảy nhôm
76032020,- - Bột có cấu trúc lớp
7604,"Nhôm ở dạng thanh, que và hình"
760410,"- Bằng nhôm, không hợp kim:"
76041010,- - Dạng thanh và que
76041090,- - Loại khác
#3108,- Bằng hợp kim nhôm:
760421,- - Dạng hình rỗng:
76042110,- - - Loại phù hợp để làm dàn lạnh của máy điều hòa không khí cho xe có động cơ (SEN)
