hscode,mo_ta
,2. Nhóm 67.01 không bao gồm:
,"(a) Các sản phẩm mà trong đó lông vũ hoặc lông tơ chỉ dùng làm đệm, lót, nhồi (ví dụ, đệm giường thuộc nhóm 94.04);"
,"(b) Các sản phẩm may mặc hoặc đồ phụ trợ của quần áo mà trong đó lông vũ hoặc lông tơ chỉ dùng như vật trang trí hoặc đệm, lót; hoặc"
,"(c) Hoa hoặc cành, lá nhân tạo hoặc các phần của chúng hoặc các sản phẩm làm sẵn thuộc nhóm 67.02."
,3. Nhóm 67.02 không bao gồm:
,(a) Các sản phẩm bằng thủy tinh (Chương 70); hoặc
,"(b) Hoa, cành, lá, quả nhân tạo bằng gốm, đá, kim loại, gỗ hoặc các vật liệu khác, được làm thành một khối bằng cách đúc, luyện, khắc, dập hoặc cách khác, hoặc gồm các bộ phận được lắp ráp lại với nhau trừ việc ghép, gắn bằng keo, lắp với một vật khác hoặc các phương pháp tương tự."
67010000,"Da và các bộ phận khác của loài chim có lông vũ hoặc lông tơ, lông vũ, các phần của lông vũ, lông tơ và các sản phẩm làm từ chúng (trừ các mặt hàng thuộc nhóm 05.05 và các ống, lông cánh, lông đuôi đã chế biến)"
6702,"Hoa, cành, lá, quả nhân tạo và các phần của chúng; các sản phẩm làm bằng hoa, cành, lá hoặc quả nhân tạo"
67021000,- Bằng plastic
670290,- Bằng các loại vật liệu khác:
67029010,- - Bằng giấy
67029020,- - Bằng vật liệu dệt
67029090,- - Loại khác
67030000,"Tóc người, đã được chải, chuốt, tẩy hoặc xử lý bằng cách khác; lông cừu hoặc lông động vật khác hoặc các loại vật liệu dệt khác, được chế biến để dùng làm tóc giả hoặc sản phẩm tương tự"
6704,"Tóc giả, râu, lông mi, lông mày giả, tóc độn và các loại sản phẩm tương tự, bằng tóc người hoặc lông động vật hoặc các loại vật liệu dệt; các sản phẩm bằng tóc người chưa được chi tiết hoặc ghi ở nơi khác"
,- Bằng vật liệu dệt tổng hợp:
67041100,- - Bộ tóc giả hoàn chỉnh
67041900,- - Loại khác
67042000,- Bằng tóc người
67049000,- Bằng vật liệu khác
,PHẦN XIII
,"SẢN PHẨM BẰNG ĐÁ, THẠCH CAO, XI MĂNG, AMIĂNG, MICA HOẶC CÁC VẬT LIỆU TƯƠNG TỰ; ĐỒ GỐM, SỨ (CERAMIC); THỦY TINH VÀ CÁC SẢN PHẨM BẰNG THỦY TINH"
,Chương 68
,"Sản phẩm làm bằng đá, thạch cao, xi măng, amiăng, mica hoặc các vật liệu tương tự"
,Chú giải
,1. Chương này không bao gồm:
,(a) Hàng hóa thuộc Chương 25;
,"(b) Giấy và bìa đã được tráng, ngâm tẩm hoặc phủ thuộc nhóm 48.10 hoặc 48.11 (ví dụ, giấy và bìa đã được tráng graphit hoặc bột mica, giấy và bìa đã được bi-tum hóa hoặc asphalt hóa);"
,"(c) Vải dệt đã được tráng, ngâm tẩm hoặc phủ thuộc Chương 56 hoặc 59 (ví dụ, vải đã được tráng hoặc phủ bột mica, vải đã được asphalt hóa hoặc bi-tum hóa);"
,(d) Các sản phẩm của Chương 71;
,"(e) Dụng cụ hoặc các bộ phận của dụng cụ, thuộc Chương 82;"
,(f) Đá in ly tô thuộc nhóm 84.42;
,(g) Vật liệu cách điện (nhóm 85.46) hoặc các phụ kiện làm bằng vật liệu cách điện thuộc nhóm 85.47;
,"(h) Đầu mũi khoan, mài dùng trong nha khoa (nhóm 90.18);"
,"(ij) Các sản phẩm thuộc Chương 91 (ví dụ, đồng hồ thời gian và vỏ đồng hồ thời gian);"
,"(k) Các sản phẩm thuộc Chương 94 (ví dụ, đồ nội thất, đèn (luminaires) và bộ đèn, nhà lắp ghép);"
,"(l) Các sản phẩm của Chương 95 (ví dụ, đồ chơi, thiết bị trò chơi và dụng cụ, thiết bị thể thao);"
,"(m) Các sản phẩm của nhóm 96.02, nếu làm bằng các vật liệu đã được ghi trong Chú giải 2(b) của Chương 96, hoặc của nhóm 96.06 (ví dụ, khuy), của nhóm 96.09 (ví dụ, bút chì bằng đá phiến) hoặc nhóm 96.10 (ví dụ, bảng đá phiến dùng để vẽ) hoặc của nhóm 96.20 (chân đế loại một chân (monopod), hai chân (bipod), ba chân (tripod) và các sản phẩm tương tự); hoặc"
,"(n) Các sản phẩm thuộc Chương 97 (ví dụ, các tác phẩm nghệ thuật)."
,"2. Trong nhóm 68.02, khái niệm ""đá xây dựng hoặc đá làm tượng đài đã được gia công"" được áp dụng không chỉ đối với nhiều loại đá đã được nêu ra trong nhóm 25.15 hoặc 25.16 mà còn đối với tất cả các loại đá tự nhiên khác (ví dụ, đá thạch anh, đá lửa, dolomit và steatit) đã được gia công tương tự; tuy nhiên, không áp dụng đối với đá phiến."
68010000,"Các loại đá lát, đá lát lề đường và phiến đá lát đường, bằng đá tự nhiên (trừ đá phiến)"
6802,"Đá làm tượng đài hoặc đá xây dựng đã được gia công (trừ đá phiến) và các sản phẩm làm từ các loại đá trên, trừ các sản phẩm thuộc nhóm 68.01; đá khối dùng để khảm và các loại tương tự, bằng đá tự nhiên (kể cả đá phiến), có hoặc không có lớp lót; đá hạt, đá dăm và bột đá đã nhuộm màu nhân tạo, làm bằng đá tự nhiên (kể cả đá phiến)"
68021000,"- Đá lát, đá khối và các sản phẩm tương tự, có hoặc không ở dạng hình chữ nhật (kể cả dạng hình vuông), mà mặt lớn nhất của nó có thể nằm gọn trong một hình vuông có cạnh nhỏ hơn 7 cm; đá hạt, đá dăm và bột đá đã nhuộm màu nhân tạo "
,"- Đá làm tượng đài hoặc đá xây dựng khác và các sản phẩm làm từ chúng, mới chỉ cắt hoặc cưa đơn giản, có bề mặt nhẵn hoặc phẳng: "
68022100,"- - Đá hoa (marble), tra-véc-tin và thạch cao tuyết hoa"
68022300,- - Đá granit
680229,- - Đá khác:
68022910,- - - Đá vôi khác
68022990,- - - Loại khác
,- Loại khác:
680291,"- - Đá hoa (marble), tra-véc-tin và thạch cao tuyết hoa:"
68029110,- - - Đá hoa (marble)
68029190,- - - Loại khác
68029200,- - Đá vôi khác
680293,- - Đá granit:
68029310,- - - Dạng tấm đã được đánh bóng
68029390,- - - Loại khác
68029900,- - Đá khác
68030000,Đá phiến đã gia công và các sản phẩm làm bằng đá phiến hoặc làm bằng đá phiến kết khối (từ bột đá phiến kết lại thành khối)
6804,"Đá nghiền, đá mài, đá mài dạng hình tròn và tương tự, không có cốt, dùng để nghiền, mài, đánh bóng, giũa hoặc cắt, đá mài hoặc đá đánh bóng bằng tay, và các phần của chúng, bằng đá tự nhiên, bằng các vật liệu mài tự nhiên hoặc nhân tạo đã được kết khối, hoặc bằng gốm, có hoặc không kèm theo các bộ phận bằng các vật liệu khác"
68041000,"- Đá nghiền (thớt cối xay) và đá mài để nghiền, mài hoặc xay thành bột"
,"- Đá nghiền, đá mài khác, đá mài dạng hình tròn và dạng tương tự:"
68042100,- - Bằng kim cương tự nhiên hoặc kim cương nhân tạo đã được kết khối
68042200,"- - Bằng vật liệu mài đã được kết khối hoặc bằng gốm khác, Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel / 125*10*4*25*12.7H (S.J), 5020-005950 || Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel / 125*8*1.5*25.4 4H (S.J), 5042-143400 || Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel / 125*10*5*12.7 (S.J), 5042-143500 || Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel 125*10*4*25*12.7H (S.J), 5020-005950 || Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel 125*10*5*12.7 (S.J), 5042-143500 || Đá mài dùng cho máy mài sắc dụng cụ để bàn, Diamond Wheel 125*8*1.5*25.4 4H(S.J), 5042-143400 || .#&Bánh mài dùng để đánh bóng sản phẩm, phi 50mm * 30mm, #320. Hàng mới 100%"
68042300,- - Bằng đá tự nhiên
68043000,- Đá mài hoặc đá đánh bóng bằng tay
6805,"Bột mài hoặc hạt mài tự nhiên hoặc nhân tạo, có nền bằng vật liệu dệt, giấy, bìa hoặc các vật liệu khác, đã hoặc chưa cắt thành hình hoặc đã khâu hoặc hoàn thiện bằng cách khác"
68051000,"- Trên nền chỉ bằng vải dệt, .#&Nhám vải (KT:80mm*100mm)#320, (Bột mài trên nền chỉ vải không dệt) dùng để đánh bóng sản phẩm, hàng mới 100%#&CN || .#&Nhám tròn D125 # 80 , dùng để đánh bóng sản phẩm, (1950 cái/thùng x 2thùng). Mới 100% || .#&Nhám chuôi 25 x 25 , dùng để đánh bóng sản phẩm, (180 cái/thùng x 1thùng). Mới 100% || .#&Nhám chuôi 30 x 25, dùng để đánh bóng sản phẩm, (180 cái/thùng x 1thùng). Mới 100% || .#&Nhám cuộn 4'' x 50yd , dùng để đánh bóng sản phẩm, ( 9cái/thùng x 1thùng). Mới 100% || .#&Nhám xếp, dùng để đánh bóng sản phẩm, ( 310 cái/thùng x 10thùng). Mới 100%"
68052000,"- Trên nền chỉ bằng giấy hoặc bìa, .#&Nhám giấy tròn (5"")#80, đã phủ lớp bột mài  trên bề mặt giấy, hàng mới 100%#&CN || .#&Giấy nhám B312T #400 (50mm*75mm) velcro. Hàng mới 100% || .#&Giáp mài 3M #80 phi 30. Hàng mới 100%"
68053000,"- Trên nền bằng vật liệu khác, .#&Nhám mút (KT:100mm*100mm) #220, đã phủ lớp bột mài  trên bề mặt bọt biển, hàng mới 100%#&CN || .#&Nhám mút (KT:100mm*100mm) #2000, đã phủ lớp bột mài  trên bề mặt bọt biển, hàng mới 100%#&CN || .#&Nhám mút (2"")#220, đã phủ lớp bột mài  trên bề mặt bọt biển, hàng mới 100%#&CN || .#&Nhám cước (5"")#1500, đã phủ lớp bột mài tự nhiên trên bề sợi sơ nhân tạo, dùng để mài mịn sản phẩm, hàng mới 100%#&CN || .#&Nhám mút (KT:80mm*100mm)#600, đã phủ lớp bột mài  trên bề mặt bọt biển, hàng mới 100%#&CN || .#&Nhám xốp L310T P600 (#1200-1500) 4inch, vc 5T/H70 dùng để làm sạch sản phẩm. Hàng mới 100% || .#&Nhám xốp L310T P600 (#1200-1500) 80X100mm, vc 5T/H70 dùng để làm sạch sản phẩm. Hàng mới 100% || .#&Nhám xốp #1500, kt phi 125 x phi175. Hàng mới 100% || .#&Nhám trên bề mặt film UA110-SV#220 - 100mm, kích thước đường kính 100mm, dùng để đánh bóng linh kiện điện thoại, hàng mới 100%#&KR || .#&Nhám trên bề mặt film UA110-SV#220 - 50mm, kích thước đường kính 50mm, dùng để đánh bóng linh kiện điện thoại, hàng mới 100% || .#&Nhám trên bề mặt film UA110-SV#500 - 100mm, kích thước đường kính 100mm, dùng để đánh bóng linh kiện điện thoại, hàng mới 100% || .#&Nhám trên bề mặt film UA231-SV#2000 - 1m*2m, kích thước 1m*2m, dùng để đánh bóng linh kiện điện thoại, hàng mới 100% || .#&Nhám trên bề mặt flim UZ281-SV #240 - 100mm, kích thước đường kính 100mm, dùng để đánh bóng linh kiện điện thoại, hàng mới 100% || .#&Nhám trên bề mặt film UA110-SV#220 - 100mm, kích thước đường kính 100mm, dùng để đánh bóng linh kiện điện thoại, hàng mới 100% || .#&Nhám xốp L310 TPINK P600 (#1200).hàng mới 100% || .#&Nhám P600, kích thước 80*100mm.hàng mới 100% || .#&Giấy nhám P600, kích thước 230*280mm.hàng mới 100% || .#&Nhám xốp độ hạt P1000, kích thước100*140mm.hàng mới 100% || .#&Nhám Hanko P2000 20 cái/hộp,100*100mm.hàng mới 100% || .#&Miếng chà nhám P1500 (125mm).hàng mới 100% || .#&Nhám mút (KT:100mm*100mm) #220, đã phủ lớp bột mài  trên bề mặt bọt biển, hàng mới 100%"
6806,"Sợi xỉ, bông len đá (rock wool) và các loại sợi khoáng tương tự; vermiculite nung nở, đất sét trương nở, xỉ bọt và các loại vật liệu khoáng trương nở tương tự; các hỗn hợp và các sản phẩm cách nhiệt, cách âm hoặc các vật liệu khoáng hấp thụ âm, trừ các sản phẩm thuộc nhóm 68.11 hoặc 68.12 hoặc Chương 69"
68061000,"- Sợi xỉ, bông len đá (rock wool) và các loại sợi khoáng tương tự (kể cả hỗn hợp của chúng), ở dạng rời, dạng tấm hoặc dạng cuộn"
68062000,"- Vermiculite nung nở, đất sét trương nở, xỉ bọt và các loại vật liệu quặng khoáng trương nở tương tự (kể cả hỗn hợp của chúng)"
68069000,- Loại khác
6807,"Các sản phẩm bằng asphalt hoặc bằng vật liệu tương tự (ví dụ, bi-tum dầu mỏ hoặc hắc ín than đá)"
68071000,- Dạng cuộn
680790,- Loại khác:
68079010,- - Tấm lát (tiles)
68079090,- - Loại khác
6808,"Panel, tấm, tấm lát (tiles), khối và các sản phẩm tương tự làm bằng xơ thực vật, rơm rạ hoặc bằng phoi bào, mạt gỗ, dăm gỗ, mùn cưa hoặc phế liệu khác, bằng gỗ, đã được kết khối bằng xi măng, thạch cao hoặc chất kết dính khoáng khác"
68080020,- Ngói lợp mái
68080040,- Tấm lát (tiles) khác
,- Loại khác:
68080091,- - Từ xơ thực vật
68080099,- - Loại khác
6809,Các sản phẩm làm bằng thạch cao hoặc bằng các hỗn hợp có thành phần cơ bản là thạch cao
,"- Tấm, lá, panel, tấm lát (tiles) và các sản phẩm tương tự, chưa được trang trí:"
68091100,- - Được phủ mặt hoặc gia cố chỉ bằng giấy hoặc bìa
680919,- - Loại khác:
68091910,- - - Tấm lát (tiles)
68091990,- - - Loại khác
680990,- Các sản phẩm khác:
68099010,- - Khuôn bằng thạch cao dùng trong nha khoa
68099090,- - Loại khác
6810,"Các sản phẩm bằng xi măng, bằng bê tông hoặc đá nhân tạo, đã hoặc chưa được gia cố"
,"- Tấm lát (tiles), phiến đá lát đường, gạch xây và các sản phẩm tương tự:"
68101100,- - Gạch và gạch khối xây dựng
681019,- - Loại khác:
68101910,- - - Tấm lát (tiles)
68101990,- - - Loại khác
,- Các sản phẩm khác:
681091,- - Các cấu kiện làm sẵn cho xây dựng hoặc kỹ thuật dân dụng:
68109110,- - - Cọc xây dựng bằng bê tông (SEN)
68109190,- - - Loại khác
68109900,- - Loại khác
6811,"Các sản phẩm bằng xi măng-amiăng, bằng xi măng-sợi xenlulô hoặc tương tự"
681140,- Chứa amiăng:
68114010,- - Tấm làn sóng
,"- - Tấm, panel, tấm lát (tiles) và các sản phẩm tương tự khác:"
68114021,- - - Gạch lát nền hoặc ốp tường chứa plastic
68114022,"- - - Dùng để lợp mái, ốp bề mặt hoặc làm vách ngăn"
68114029,- - - Loại khác
68114030,- - Ống hoặc ống dẫn
68114040,- - Các phụ kiện để ghép nối ống hoặc ống dẫn
68114050,"- - Các sản phẩm khác, của loại sử dụng cho xây dựng "
68114090,- - Loại khác
,- Không chứa amiăng:
68118100,- - Tấm làn sóng
681182,"- - Tấm, panel, tấm lát (tiles) và các sản phẩm tương tự khác:"
68118210,- - - Gạch lát nền hoặc ốp tường chứa plastic
68118220,"- - - Dùng để lợp mái, ốp bề mặt hoặc làm vách ngăn"
68118290,- - - Loại khác
681189,- - Các sản phẩm khác:
68118910,- - - Ống hoặc ống dẫn
68118920,- - - Các phụ kiện để ghép nối ống hoặc ống dẫn
68118930,"- - - Các sản phẩm khác, của loại sử dụng cho xây dựng "
68118990,- - - Loại khác
6812,"Sợi amiăng đã được gia công; các hỗn hợp với thành phần cơ bản là amiăng hoặc thành phần cơ bản là amiăng và magie carbonat; các sản phẩm làm từ hỗn hợp đó hoặc làm từ amiăng (ví dụ, chỉ, vải dệt thoi, quần áo, mũ và vật đội đầu khác, giày dép, các miếng đệm), đã hoặc chưa được gia cố, trừ các loại thuộc nhóm 68.11 hoặc 68.13"
681280,- Bằng crocidolite:
68128020,- - Quần áo
68128030,"- - Giấy, bìa cứng và nỉ"
68128050,"- - Phụ kiện quần áo, giày dép và vật đội đầu; sợi crocidolite đã được gia công; các hỗn hợp với thành phần cơ bản là crocidolite hoặc có thành phần cơ bản là crocidolite và magie carbonat; sợi và chỉ; sợi bện (cord) và dây, đã hoặc chưa bện; vải dệt kim hoặc dệt thoi"
68128090,- - Loại khác
,- Loại khác:
681291,"- - Quần áo, phụ kiện quần áo, giày dép và vật đội đầu:"
68129110,- - - Quần áo
68129190,- - - Loại khác
681299,- - Loại khác:
68129920,- - - Gạch lát nền hoặc ốp tường
68129930,"- - - Giấy, bìa cứng và nỉ"
68129940,"- - - Vật liệu ghép nối làm bằng sợi amiăng ép, ở dạng tấm hoặc cuộn"
,"- - - Loại khác, sợi amiăng (trừ loại làm từ crocidolite) đã được gia công; các hỗn hợp với thành phần cơ bản là amiăng (trừ loại làm từ crocidolite) hoặc có thành phần cơ bản là amiăng (trừ loại làm từ crocidolite) và magie carbonat; sợi và chỉ; sợi bện (cord) và dây, đã hoặc chưa bện; vải dệt kim hoặc dệt thoi:"
68129951,- - - - Các hỗn hợp với thành phần cơ bản là amiăng hoặc có thành phần cơ bản là amiăng và magie carbonat loại dùng để sản xuất các mặt hàng thuộc nhóm 68.13 
68129959,- - - - Loại khác
68129990,"- - - Loại khác, .#&Dây amiang chịu nhiệt, kích thước dài 200m, CERAMIC PACKING 50, 5040-558000"
6813,"Vật liệu ma sát và các sản phẩm từ vật liệu ma sát (ví dụ, tấm mỏng, cuộn, dải, đoạn, đĩa, vòng đệm, tấm lót), chưa lắp ráp, để làm phanh, côn hoặc các sản phẩm tương tự, với thành phần cơ bản là amiăng, các chất khoáng khác hoặc xenlulo, đã hoặc chưa kết hợp với vật liệu dệt hoặc các vật liệu khác"
681320,- Chứa amiăng:
68132010,- - Lót và đệm phanh
68132090,- - Loại khác
,- Không chứa amiăng:
68138100,- - Lót và đệm phanh
68138900,- - Loại khác
6814,"Mica đã gia công và các sản phẩm làm từ mica, kể cả mica đã được kết khối hoặc tái chế, có hoặc không có lớp nền phụ trợ bằng giấy, bìa hoặc các vật liệu khác"
68141000,"- Tấm, tấm mỏng và dải bằng mica đã được kết khối hoặc tái chế, có hoặc không có lớp nền phụ trợ"
68149000,"- Loại khác, .#&Biển exit 2 mặt 350x150mm, bằng mica bồi màng PVC dạng cuộn phủ keo 1 mặt, hàng mới 100%"
6815,"Các sản phẩm bằng đá hoặc bằng các chất liệu khoáng khác (kể cả xơ carbon, các sản phẩm bằng xơ carbon và các sản phẩm làm bằng than bùn), chưa được chi tiết hoặc ghi ở nơi khác"
,- Xơ carbon; các sản phẩm từ xơ carbon không phải là các sản phẩm điện; các sản phẩm khác làm từ graphit hoặc carbon khác không phải là các sản phẩm điện:
68151100,- - Xơ carbon
68151200,- - Vải dệt từ xơ carbon
681513,- - Các sản phẩm khác từ xơ carbon:
68151310,- - - Sợi hoặc chỉ 
68151390,- - - Loại khác
681519,- - Loại khác:
68151910,- - - Sợi hoặc chỉ 
68151920,"- - - Gạch xây, phiến lát, gạch lát sàn, các loại vật liệu dùng để lát và các sản phẩm xây dựng tương tự"
68151990,"- - - Loại khác, Ống bằng graphite để bảo vệ cần cảm biến nhiệt độ dùng cho máy đúc , GRAPHITE PRORECTIVE TUBE 1,000mm, 5020-002240 || Ống bằng graphite để bảo vệ cần cảm biến nhiệt độ dùng cho máy đúc , GRAPHITE PRORECTIVE TUBE 500mm, 5043-015200 || .#&Vòng than chì dùng để cố định khuôn, 7"" GRAPHITE RING + SILICONE COATING, 5040-488500"
68152000,- Sản phẩm từ than bùn
,- Các loại sản phẩm khác:
68159100,"- - Có chứa magiezit, magiê oxit ở dạng periclase, dolomit kể cả ở dạng dolime, hoặc cromit"
68159900,- - Loại khác
,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
,Chương 69
,"Đồ gốm, sứ"
,Chú giải
,"1. Chương này chỉ áp dụng đối với những sản phẩm gốm, sứ đã được nung sau khi tạo hình:"
,(a) Các nhóm từ 69.04 đến 69.14 chỉ áp dụng đối với những sản phẩm như vậy trừ những sản phẩm được phân loại trong các nhóm từ 69.01 đến 69.03;
,"(b) Các sản phẩm được gia nhiệt ở nhiệt độ dưới 800°C cho các mục đích như đóng rắn nhựa, tăng tốc phản ứng hydrat hóa, hoặc để loại bỏ nước hoặc các thành phần dễ bay hơi khác, không được coi là nung. Các sản phẩm như vậy bị loại trừ khỏi Chương 69; và "
,"(c) Các sản phẩm gốm, sứ thu được bằng cách nung các vật liệu phi kim loại, vô cơ đã được chuẩn bị và tạo hình trước đó ở nhiệt độ phòng nói chung. Các nguyên liệu thô bao gồm, không kể những đề cập khác, đất sét, vật liệu silic kể cả silica nung chảy, các vật liệu có nhiệt độ nóng chảy cao, như oxit, carbua, nitrua, graphit hoặc carbon khác, và trong một số trường hợp là chất kết dính như phốt phát hoặc đất sét chịu lửa. "
,2. Chương này không bao gồm:
,(a) Các sản phẩm thuộc nhóm 28.44;
,(b) Các sản phẩm thuộc nhóm 68.04;
,"(c) Các sản phẩm thuộc Chương 71 (ví dụ, đồ trang sức làm bằng chất liệu khác);"
,(d) Gốm kim loại thuộc nhóm 81.13;
,(e) Các sản phẩm thuộc Chương 82;
,(f) Vật cách điện (nhóm 85.46) hoặc các phụ kiện làm bằng vật liệu cách điện thuộc nhóm 85.47;
,(g) Răng giả (nhóm 90.21);
,"(h) Các sản phẩm thuộc Chương 91 (ví dụ, đồng hồ thời gian và vỏ đồng hồ thời gian);"
,"(ij) Các sản phẩm thuộc Chương 94 (ví dụ, đồ nội thất, đèn (luminaires) và bộ đèn, nhà lắp ghép);"
,"(k) Các sản phẩm của Chương 95 (ví dụ, đồ chơi, thiết bị trò chơi và dụng cụ, thiết bị thể thao);"
,"(l) Các sản phẩm thuộc nhóm 96.06 (ví dụ, khuy) hoặc thuộc nhóm 96.14 (ví dụ, tẩu hút thuốc); hoặc"
,"(m) Các sản phẩm thuộc Chương 97 (ví dụ, các tác phẩm nghệ thuật)."
,PHÂN CHƯƠNG I
,"CÁC LOẠI HÀNG HÓA BẰNG BỘT HÓA THẠCH SILIC HOẶC BẰNG CÁC LOẠI ĐẤT SILIC TƯƠNG TỰ, VÀ CÁC SẢN PHẦM CHỊU LỬA"
69010000,"Gạch, gạch khối, tấm lát (tiles) và các loại hàng gốm, sứ khác làm từ bột silic hóa thạch (ví dụ, đất tảo cát, đá tảo silic hoặc diatomit) hoặc từ các loại đất silic tương tự"
6902,"Gạch, gạch khối, tấm lát (tiles) chịu lửa và các loại vật liệu xây dựng bằng gốm, sứ chịu lửa tương tự, trừ các sản phẩm làm bằng bột silic hóa thạch hoặc đất silic tương tự"
69021000,"- Có hàm lượng trên 50% tính theo khối lượng là một hoặc nhiều nguyên tố magie (Mg), canxi (Ca) hoặc crom (Cr), thể hiện ở dạng magie oxit (MgO), canxi oxit (CaO) hoặc crom oxit (Cr2O3)"
69022000,"- Có hàm lượng trên 50% tính theo khối lượng là oxit nhôm (Al2O3), đioxit silic (SiO2) hoặc hỗn hợp hoặc hợp chất của các chất này"
69029000,- Loại khác
6903,"Các loại hàng gốm, sứ chịu lửa khác (ví dụ, bình cổ cong, nồi nấu kim loại, lò muffle, nút, phích cắm, giá đỡ, chén thử vàng bạc, các loại ống, ống dẫn, bao vỏ, tay cầm và cửa trượt), trừ các sản phẩm làm bằng bột silic hóa thạch hoặc đất silic tương tự"
69031000,- Có hàm lượng trên 50% tính theo khối lượng là carbon tự do
69032000,- Có hàm lượng trên 50% tính theo khối lượng là oxit nhôm (Al2O3) hoặc hỗn hợp hoặc hợp chất của oxit nhôm và của đioxit silic (SiO2)
69039000,"- Loại khác, .#&Nút bịt kim loại nóng chảy, chất liệu bằng bông gốm chịu nhiệt, DRAIN TAP CON 36.8*79.7*182.5mmL, 5040-571800"
,PHÂN CHƯƠNG II
,"CÁC SẢN PHẨM GỐM, SỨ KHÁC"
6904,"Gạch xây dựng, gạch khối lát nền, tấm đỡ hoặc tấm lót và các loại tương tự bằng gốm, sứ"
69041000,- Gạch xây dựng
69049000,- Loại khác
6905,"Ngói lợp, ống khói, chụp ống khói, lớp lót trong ống khói, hàng trang trí kiến trúc và hàng xây dựng bằng gốm, sứ khác"
69051000,- Ngói lợp mái
69059000,- Loại khác
69060000,"Ống dẫn, máng dẫn, máng thoát nước và các phụ kiện để lắp ráp bằng gốm, sứ"
6907,"Các loại phiến lát đường và gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường bằng gốm, sứ; các khối khảm và các loại sản phẩm tương tự bằng gốm, sứ, có hoặc không có lớp nền; các sản phẩm gốm, sứ để hoàn thiện"
,"- Các loại phiến lát đường và gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường trừ loại thuộc phân nhóm 6907.30 và 6907.40:"
690721,"- - Của loại có độ hút nước không quá 0,5% tính theo trọng lượng:"
69072110,"- - - Tấm lót của loại sử dụng cho máy nghiền, không tráng men(SEN)"
,"- - - Loại khác, có mặt lớn nhất có thể nằm gọn trong một hình vuông có cạnh dưới 7 cm:"
69072121,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072122,"- - - - Loại khác, không tráng men"
69072123,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072124,"- - - - Loại khác, đã tráng men"
,- - - Loại khác:
69072191,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072192,"- - - - Loại khác, không tráng men"
69072193,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072194,"- - - - Loại khác, đã tráng men"
690722,"- - Của loại có độ hút nước trên 0,5% nhưng không quá 10% tính theo trọng lượng:"
,- - - Có mặt lớn nhất có thể nằm gọn trong một hình vuông có cạnh dưới 7 cm:
69072211,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072212,"- - - - Loại khác, không tráng men"
69072213,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072214,"- - - - Loại khác, đã tráng men"
,- - - Loại khác:
69072291,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072292,"- - - - Loại khác, không tráng men"
69072293,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072294,"- - - - Loại khác, đã tráng men"
690723,- - Của loại có độ hút nước trên 10% tính theo trọng lượng:
,- - - Có mặt lớn nhất có thể nằm gọn trong một hình vuông có cạnh dưới 7 cm:
69072311,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072312,"- - - - Loại khác, không tráng men"
69072313,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072314,"- - - - Loại khác, đã tráng men"
,- - - Loại khác:
69072391,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, không tráng men"
69072392,"- - - - Loại khác, không tráng men"
69072393,"- - - - Gạch lát đường, lát nền và lòng lò hoặc gạch ốp tường, đã tráng men"
69072394,"- - - - Loại khác, đã tráng men"
690730,"- Khối khảm và các sản phẩm tương tự, trừ loại thuộc phân nhóm 6907.40:"
,- - Không tráng men:
69073011,- - - Có mặt lớn nhất có thể nằm gọn trong một hình vuông có cạnh dưới 7 cm
69073019,- - - Loại khác
,- - Loại khác:
69073091,- - - Có mặt lớn nhất có thể nằm gọn trong một hình vuông có cạnh dưới 7 cm
69073099,- - - Loại khác
690740,"- Các sản phẩm gốm, sứ để hoàn thiện:"
69074010,"- - Của loại sử dụng để lót máy nghiền, không tráng men"
,"- - Các sản phẩm khác, có mặt lớn nhất có thể nhìn thấy sau khi ghép không quá 49 cm2:"
69074021,- - - Không tráng men
69074022,- - - Đã tráng men
,- - Loại khác:
69074091,- - - Không tráng men
69074092,- - - Đã tráng men
